queue,workload,threads,rep,ops_total,seconds,throughput_ops_s,pinned,enq_p50_ns,enq_p99_ns,enq_p999_ns,deq_p50_ns,deq_p99_ns,deq_p999_ns
moodycamel,pc_3p1c,4,0,600000,0.030556,19635971,0,42,375,1125,42,500,791
moodycamel,pc_3p1c,4,1,600000,0.034323,17481180,0,42,334,958,42,458,667
moodycamel,pc_3p1c,4,2,600000,0.030646,19578465,0,42,416,1042,42,459,667
moodycamel,pc_3p1c,4,3,600000,0.028791,20840117,0,83,375,834,42,417,625
moodycamel,pc_3p1c,4,4,600000,0.026015,23063322,0,42,250,833,42,500,625
moodycamel,pc_3p1c,4,5,600000,0.028889,20769331,0,42,250,459,42,333,542
moodycamel,pc_3p1c,4,6,600000,0.034257,17514860,0,42,250,584,42,375,542
moodycamel,pc_3p1c,4,7,600000,0.041235,14550687,0,42,250,542,42,375,583
moodycamel,pc_3p1c,4,8,600000,0.037376,16053261,0,42,292,792,42,416,667
moodycamel,pc_3p1c,4,9,600000,0.030912,19410121,0,84,292,625,42,375,583
moodycamel,pc_6p2c,8,0,1200000,0.077923,15399818,0,42,292,667,125,667,3208
moodycamel,pc_6p2c,8,1,1200000,0.078664,15254762,0,42,292,1125,125,667,3917
moodycamel,pc_6p2c,8,2,1200000,0.074419,16124969,0,42,292,792,125,625,1833
moodycamel,pc_6p2c,8,3,1200000,0.082693,14511536,0,42,333,792,166,708,6875
moodycamel,pc_6p2c,8,4,1200000,0.084146,14260977,0,42,292,667,125,666,2500
moodycamel,pc_6p2c,8,5,1200000,0.083807,14318563,0,42,333,708,167,750,2166
moodycamel,pc_6p2c,8,6,1200000,0.077128,15558611,0,42,333,708,167,625,1375
moodycamel,pc_6p2c,8,7,1200000,0.072136,16635331,0,84,375,709,167,750,1167
moodycamel,pc_6p2c,8,8,1200000,0.079146,15161765,0,84,334,708,167,750,1333
moodycamel,pc_6p2c,8,9,1200000,0.076639,15657909,0,125,334,708,166,708,1083
moodycamel,pc_12p4c,16,0,2400000,0.170191,14101817,0,42,291,625,375,958,15583
moodycamel,pc_12p4c,16,1,2400000,0.174550,13749616,0,42,333,667,417,1000,19833
moodycamel,pc_12p4c,16,2,2400000,0.173247,13853044,0,42,292,667,375,1000,20291
moodycamel,pc_12p4c,16,3,2400000,0.190040,12628890,0,42,292,709,292,959,24000
moodycamel,pc_12p4c,16,4,2400000,0.181587,13216829,0,42,292,791,250,958,13958
moodycamel,pc_12p4c,16,5,2400000,0.166961,14374632,0,42,250,625,334,958,11125
moodycamel,pc_12p4c,16,6,2400000,0.133465,17982265,0,42,292,625,292,917,7084
moodycamel,pc_12p4c,16,7,2400000,0.138475,17331685,0,42,334,667,333,1000,5209
moodycamel,pc_12p4c,16,8,2400000,0.147648,16254840,0,42,292,625,334,958,6916
moodycamel,pc_12p4c,16,9,2400000,0.129753,18496623,0,42,334,708,291,1000,4959
