queue,workload,threads,rep,ops_total,seconds,throughput_ops_s,pinned,enq_p50_ns,enq_p99_ns,enq_p999_ns,deq_p50_ns,deq_p99_ns,deq_p999_ns
ms,pc_1p3c,4,0,200000,0.028521,7012397,0,208,375,3167,625,4375,20958
ms,pc_1p3c,4,1,200000,0.023728,8428860,0,208,292,2792,541,2375,15000
ms,pc_1p3c,4,2,200000,0.026693,7492671,0,208,292,3083,625,3209,13333
ms,pc_1p3c,4,3,200000,0.027186,7356694,0,208,292,3333,625,3250,13125
ms,pc_1p3c,4,4,200000,0.028177,7098114,0,208,375,3250,667,4000,14500
ms,pc_1p3c,4,5,200000,0.024769,8074596,0,167,292,2875,583,3042,14500
ms,pc_1p3c,4,6,200000,0.026827,7455315,0,208,334,3041,625,3208,13083
ms,pc_1p3c,4,7,200000,0.021607,9256170,0,125,292,2250,459,2375,8125
ms,pc_1p3c,4,8,200000,0.024614,8125457,0,167,375,2541,583,2416,13750
ms,pc_1p3c,4,9,200000,0.026088,7666348,0,167,416,2667,584,2708,15250
ms,pc_2p6c,8,0,400000,0.052190,7664273,0,250,1875,4541,542,16208,65958
ms,pc_2p6c,8,1,400000,0.055736,7176679,0,292,1917,4666,667,14459,47167
ms,pc_2p6c,8,2,400000,0.058649,6820279,0,291,2458,6583,708,15625,49833
ms,pc_2p6c,8,3,400000,0.054446,7346796,0,292,1917,3959,666,13500,52584
ms,pc_2p6c,8,4,400000,0.060042,6662031,0,250,2292,5250,792,12459,49416
ms,pc_2p6c,8,5,400000,0.057226,6989876,0,333,2125,6667,541,17250,82917
ms,pc_2p6c,8,6,400000,0.055442,7214752,0,291,1875,4166,750,11291,41792
ms,pc_2p6c,8,7,400000,0.053188,7520517,0,292,1709,3959,542,16042,65541
ms,pc_2p6c,8,8,400000,0.063928,6256990,0,292,2875,6209,916,12792,32625
ms,pc_2p6c,8,9,400000,0.057649,6938547,0,250,2417,5583,708,13042,58833
ms,pc_4p12c,16,0,800000,0.116951,6840464,0,167,1750,9500,541,10750,84917
ms,pc_4p12c,16,1,800000,0.144881,5521765,0,167,2042,8250,542,11958,127000
ms,pc_4p12c,16,2,800000,0.120420,6643419,0,209,2042,5125,708,8291,44250
ms,pc_4p12c,16,3,800000,0.126032,6347588,0,209,2750,10333,625,11000,68084
ms,pc_4p12c,16,4,800000,0.112253,7126785,0,208,2250,6292,667,12292,71541
ms,pc_4p12c,16,5,800000,0.125515,6373761,0,209,2708,8333,542,15459,81375
ms,pc_4p12c,16,6,800000,0.138585,5772627,0,209,2917,10500,709,9333,77750
ms,pc_4p12c,16,7,800000,0.111937,7146893,0,208,2083,7208,542,12167,68708
ms,pc_4p12c,16,8,800000,0.127964,6251744,0,208,3708,9208,667,13000,98625
ms,pc_4p12c,16,9,800000,0.148941,5371248,0,292,3625,15583,625,13209,120333
