queue,workload,threads,rep,ops_total,seconds,throughput_ops_s,pinned,enq_p50_ns,enq_p99_ns,enq_p999_ns,deq_p50_ns,deq_p99_ns,deq_p999_ns
ms,pc_3p1c,4,0,600000,0.041856,14334762,0,125,2500,14375,83,292,583
ms,pc_3p1c,4,1,600000,0.041600,14423004,0,166,2583,13875,83,375,917
ms,pc_3p1c,4,2,600000,0.044434,13503059,0,125,2375,16625,83,292,542
ms,pc_3p1c,4,3,600000,0.041160,14577407,0,166,2333,12000,83,334,542
ms,pc_3p1c,4,4,600000,0.041527,14448358,0,167,2625,12333,83,375,542
ms,pc_3p1c,4,5,600000,0.040175,14934800,0,125,2250,13167,83,333,542
ms,pc_3p1c,4,6,600000,0.043046,13938645,0,167,2417,14834,83,334,1666
ms,pc_3p1c,4,7,600000,0.040136,14949281,0,166,2333,12625,83,333,541
ms,pc_3p1c,4,8,600000,0.042104,14250583,0,167,2291,11375,83,375,542
ms,pc_3p1c,4,9,600000,0.043371,13834248,0,208,2292,11417,84,334,500
ms,pc_6p2c,8,0,1200000,0.109612,10947711,0,209,6084,45541,208,1042,14042
ms,pc_6p2c,8,1,1200000,0.119992,10000688,0,333,7625,33375,250,1166,3750
ms,pc_6p2c,8,2,1200000,0.102252,11735664,0,167,4958,21792,166,958,2292
ms,pc_6p2c,8,3,1200000,0.120702,9941857,0,375,7375,22833,250,1125,2208
ms,pc_6p2c,8,4,1200000,0.124124,9667761,0,375,7709,24291,250,1166,2334
ms,pc_6p2c,8,5,1200000,0.113113,10608880,0,250,6709,31667,167,1000,2375
ms,pc_6p2c,8,6,1200000,0.114883,10445455,0,250,5792,19834,250,1042,2625
ms,pc_6p2c,8,7,1200000,0.114948,10439484,0,292,6833,25292,208,1000,1875
ms,pc_6p2c,8,8,1200000,0.117536,10209660,0,292,6709,29250,250,1083,5375
ms,pc_6p2c,8,9,1200000,0.117327,10227836,0,292,6584,26833,209,1000,2375
ms,pc_12p4c,16,0,2400000,0.211663,11338801,0,208,5958,56834,166,1250,10875
ms,pc_12p4c,16,1,2400000,0.230633,10406162,0,250,6667,65875,167,1292,4875
ms,pc_12p4c,16,2,2400000,0.240183,9992390,0,375,7541,38500,208,1834,5625
ms,pc_12p4c,16,3,2400000,0.230948,10391931,0,333,7334,29458,250,1625,6208
ms,pc_12p4c,16,4,2400000,0.203683,11782994,0,208,5459,27541,166,1041,4041
ms,pc_12p4c,16,5,2400000,0.207585,11561503,0,209,5666,26625,125,1250,3167
ms,pc_12p4c,16,6,2400000,0.228266,10514059,0,292,6791,30166,208,1500,3958
ms,pc_12p4c,16,7,2400000,0.222117,10805130,0,250,5917,26958,209,1875,7542
ms,pc_12p4c,16,8,2400000,0.214290,11199789,0,209,6959,50750,166,1167,7833
ms,pc_12p4c,16,9,2400000,0.223030,10760890,0,250,6375,32917,167,1333,5417
